Drug_A,Drug_B,Cell_Line,Score
2907,5311,A2058,5.549454826
2907,5311,A2780,5.435050508
2907,5311,A375,11.13272473
2907,5311,A427,-9.913540803
2907,5311,CAOV3,32.89813653
2907,5311,COLO320DM,14.1405514
2907,5311,DLD1,8.109727141
2907,5311,EFM192B,21.49808747
2907,5311,ES2,10.01716375
2907,5311,HCT116,5.665493417
2907,5311,HT144,7.158362523
2907,5311,HT29,12.06889227
2907,5311,KPL1,18.59006085
2907,5311,LNCAP,-23.05236163
2907,5311,LOVO,3.969061749
2907,5311,MDAMB436,5.280989461
2907,5311,MSTO,10.37273617
2907,5311,NCIH1650,7.641876781
2907,5311,NCIH2122,13.47510988
2907,5311,NCIH23,0.560533907
2907,5311,NCIH460,5.144598433
2907,5311,NCIH520,12.44234718
2907,5311,OCUBM,0.609947622
2907,5311,OV90,14.76453825
2907,5311,OVCAR3,28.96811301
2907,5311,PA1,10.51264309
2907,5311,RKO,23.6328811
2907,5311,RPMI7951,16.31845592
2907,5311,SKMEL30,15.35866297
2907,5311,SKMES1,18.46247209
2907,5311,SKOV3,21.66839674
2907,5311,SW620,7.806799359
2907,5311,SW837,3.513088084
2907,5311,T47D,36.96806046
2907,5311,UACC62,7.029118472
2907,5311,UWB1289,-4.604383128
2907,5311,UWB1289BRCA1,3.009245132
2907,5311,VCAP,30.69582424
2907,5311,ZR751,33.64181551
2907,5394,A2058,18.07842823
2907,5394,A2780,9.297815651
2907,5394,A375,12.08365836
2907,5394,A427,-4.56088079
2907,5394,CAOV3,-51.85738786
2907,5394,COLO320DM,-4.644369821
2907,5394,DLD1,-1.720242364
2907,5394,EFM192B,-5.333431839
2907,5394,ES2,6.568167737
2907,5394,HCT116,2.382031475
2907,5394,HT144,0.527578706
2907,5394,HT29,-3.243736628
2907,5394,KPL1,-28.1622482
2907,5394,LNCAP,18.55394125
2907,5394,LOVO,-0.019538333
2907,5394,MDAMB436,-4.157453798
2907,5394,MSTO,13.10281435
2907,5394,NCIH1650,-27.4583989
2907,5394,NCIH2122,-0.678274129
2907,5394,NCIH23,-7.478013592
2907,5394,NCIH460,16.29101153
2907,5394,NCIH520,6.944634037
2907,5394,OCUBM,9.089058581
2907,5394,OV90,11.98314798
2907,5394,OVCAR3,-10.42570876
2907,5394,PA1,9.393253555
2907,5394,RKO,17.5033329
2907,5394,RPMI7951,0.543530013
2907,5394,SKMEL30,10.10122344
2907,5394,SKMES1,12.79935007
2907,5394,SKOV3,-8.112207789
2907,5394,SW620,2.560395265
2907,5394,SW837,-37.77038905
2907,5394,T47D,-47.74951594
2907,5394,UACC62,17.75268656
2907,5394,UWB1289,-6.443272985
2907,5394,UWB1289BRCA1,7.003231081
2907,5394,VCAP,-7.789094289
2907,5394,ZR751,6.779124473
2907,176870,A2058,-2.477100927
2907,176870,A2780,-0.009972219
2907,176870,A375,-4.231048403
2907,176870,A427,0.633646836
2907,176870,CAOV3,-4.087085419
2907,176870,COLO320DM,-1.275546217
2907,176870,DLD1,2.3381182
2907,176870,EFM192B,2.282047711
2907,176870,ES2,-4.66448783
2907,176870,HCT116,-3.70702275
2907,176870,HT144,-13.57168234
