Drug_A,Drug_B,Cell_Line,Score,Label
2907,5311,A427,-9.913540803,0
2907,5311,CAOV3,32.89813653,1
2907,5311,LNCAP,-23.05236163,0
2907,5311,T47D,36.96806046,1
2907,5311,UWB1289,-4.604383128,0
2907,5311,VCAP,30.69582424,1
2907,5311,ZR751,33.64181551,1
2907,5394,A427,-4.56088079,0
2907,5394,CAOV3,-51.85738786,0
2907,5394,COLO320DM,-4.644369821,0
2907,5394,DLD1,-1.720242364,0
2907,5394,EFM192B,-5.333431839,0
2907,5394,HT29,-3.243736628,0
2907,5394,KPL1,-28.1622482,0
2907,5394,LOVO,-0.019538333,0
2907,5394,MDAMB436,-4.157453798,0
2907,5394,NCIH1650,-27.4583989,0
2907,5394,NCIH2122,-0.678274129,0
2907,5394,NCIH23,-7.478013592,0
2907,5394,OVCAR3,-10.42570876,0
2907,5394,SKOV3,-8.112207789,0
2907,5394,SW837,-37.77038905,0
2907,5394,T47D,-47.74951594,0
2907,5394,UWB1289,-6.443272985,0
2907,5394,VCAP,-7.789094289,0
2907,176870,A2058,-2.477100927,0
2907,176870,A2780,-0.009972219,0
2907,176870,A375,-4.231048403,0
2907,176870,CAOV3,-4.087085419,0
2907,176870,COLO320DM,-1.275546217,0
2907,176870,ES2,-4.66448783,0
2907,176870,HCT116,-3.70702275,0
2907,176870,HT144,-13.57168234,0
2907,176870,KPL1,-6.373246302,0
2907,176870,LNCAP,-29.89584273,0
2907,176870,LOVO,-3.072280744,0
2907,176870,MDAMB436,-5.410505674,0
2907,176870,MSTO,-11.81036447,0
2907,176870,NCIH1650,-7.649029445,0
2907,176870,NCIH23,-7.063968146,0
2907,176870,NCIH460,-8.72290383,0
2907,176870,OV90,-13.23937296,0
2907,176870,OVCAR3,-6.420695627,0
2907,176870,PA1,-0.045547222,0
2907,176870,RKO,-11.2879549,0
2907,176870,RPMI7951,-3.809283242,0
2907,176870,SKMEL30,-3.91554806,0
2907,176870,SW620,-11.92897578,0
2907,176870,SW837,-1.434718608,0
2907,176870,UACC62,-5.741127918,0
2907,208908,A2058,-2.779763458,0
2907,208908,A2780,-2.598652612,0
2907,208908,A375,-10.04213779,0
2907,208908,A427,-21.25150723,0
2907,208908,DLD1,-0.895732613,0
2907,208908,EFM192B,-4.696790911,0
2907,208908,ES2,-5.342947201,0
2907,208908,HCT116,-2.09761671,0
2907,208908,HT144,-12.54923127,0
2907,208908,KPL1,-7.465815843,0
2907,208908,LNCAP,-13.39055466,0
2907,208908,LOVO,-9.032689811,0
2907,208908,MSTO,-14.86962351,0
2907,208908,NCIH1650,-7.741116515,0
2907,208908,NCIH2122,-2.958369909,0
2907,208908,NCIH23,-2.369833365,0
2907,208908,NCIH460,-17.63280257,0
2907,208908,NCIH520,-0.515284269,0
2907,208908,OCUBM,-0.210308654,0
2907,208908,OV90,-12.78199443,0
2907,208908,PA1,-10.03576114,0
2907,208908,RKO,-8.700844881,0
2907,208908,RPMI7951,-9.272506953,0
2907,208908,SKMEL30,-12.4487957,0
2907,208908,SKMES1,-2.029502112,0
2907,208908,SKOV3,-3.813600599,0
2907,208908,SW620,-9.981856193,0
2907,208908,T47D,-5.980442242,0
2907,208908,UACC62,-16.42072751,0
2907,208908,UWB1289BRCA1,-2.097413551,0
2907,208908,VCAP,-4.82792384,0
2907,216239,KPL1,-0.771353371,0
2907,216239,LNCAP,-65.35527541,0
2907,216239,LOVO,-3.301070463,0
2907,216239,MSTO,-10.82105449,0
2907,216239,OVCAR3,-10.72593316,0
2907,216239,RPMI7951,-0.163227251,0
2907,216239,SW837,-0.966645188,0
2907,216239,T47D,-0.357384795,0
2907,216239,UACC62,-13.19055662,0
2907,216239,ZR751,-15.28187565,0
2907,216453,ES2,-0.24475622,0
2907,216453,HT144,-0.365139075,0
2907,216453,KPL1,-12.25271445,0
2907,216453,LOVO,-3.479588123,0
2907,216453,NCIH1650,-1.60077257,0
2907,216453,NCIH460,-1.217739434,0
2907,216453,OVCAR3,-34.66471219,0
2907,216453,T47D,-14.96860537,0
2907,216453,UWB1289BRCA1,-3.77102016,0
2907,216453,ZR751,-8.968554546,0
2907,387447,A2780,-11.26735375,0
2907,387447,A427,-8.502772728,0
2907,387447,CAOV3,-36.65413992,0
2907,387447,HT29,-16.67612259,0
2907,387447,KPL1,-15.40532685,0
2907,387447,MDAMB436,-0.619310964,0
2907,387447,NCIH1650,-14.47544863,0
2907,387447,NCIH520,-17.71924757,0
2907,387447,OV90,-1.897133837,0
2907,387447,OVCAR3,-25.17853705,0
2907,387447,SKMES1,-10.2518384,0
2907,387447,SKOV3,-2.662322654,0
2907,387447,T47D,-23.08859768,0
2907,387447,UACC62,-9.525027695,0
2907,387447,UWB1289,-17.38594039,0
2907,387447,UWB1289BRCA1,-16.03806129,0
2907,387447,VCAP,-1.054029239,0
2907,3062316,A375,-7.039252513,0
2907,3062316,ES2,-5.659802415,0
2907,3062316,HCT116,-28.00152206,0
2907,3062316,HT144,-53.79648119,0
2907,3062316,KPL1,-4.988167769,0
2907,3062316,LNCAP,-27.42883623,0
2907,3062316,MSTO,-16.99645444,0
2907,3062316,NCIH2122,-48.37729556,0
2907,3062316,NCIH460,-3.312764954,0
2907,3062316,OV90,-3.19591068,0
2907,3062316,OVCAR3,50.72841599,1
2907,3062316,SKMEL30,-24.34554135,0
2907,3062316,SKOV3,-5.820910392,0
2907,3062316,T47D,-15.33862999,0
2907,3062316,UACC62,-3.680153221,0
2907,3062316,UWB1289,-1.568277509,0
2907,3062316,ZR751,-16.76462773,0
2907,5288382,A2780,-9.965537092,0
2907,5288382,A375,-8.590118003,0
2907,5288382,A427,-2.184700402,0
2907,5288382,CAOV3,-6.541062748,0
2907,5288382,DLD1,-2.460812475,0
2907,5288382,ES2,-12.92243489,0
2907,5288382,HT144,-11.28078492,0
2907,5288382,MSTO,-19.45589953,0
2907,5288382,NCIH23,-1.437948727,0
2907,5288382,OV90,-5.78020129,0
2907,5288382,OVCAR3,-5.304145066,0
2907,5288382,PA1,-10.43984161,0
2907,5288382,RKO,-2.133530745,0
2907,5288382,RPMI7951,-6.309509387,0
2907,5288382,SKMEL30,-10.78081908,0
2907,5288382,SW620,-6.434764928,0
2907,5288382,SW837,-3.718968384,0
2907,5288382,T47D,-25.05944518,0
2907,5288382,UACC62,-13.0158698,0
2907,5288382,UWB1289,-8.10376924,0
2907,5288382,ZR751,-6.707725763,0
2907,5329102,HT144,-0.235016091,0
2907,5329102,LNCAP,-14.56500887,0
2907,5329102,RPMI7951,-2.108767604,0
2907,5329102,SW837,-1.079094363,0
2907,5329102,ZR751,-0.33504268,0
2907,9826528,A2058,-1.843010941,0
2907,9826528,A2780,-8.138271946,0
2907,9826528,A375,-2.150443052,0
2907,9826528,A427,-9.961044534,0
2907,9826528,CAOV3,31.65245495,1
2907,9826528,DLD1,-2.818802283,0
2907,9826528,EFM192B,-2.568152457,0
2907,9826528,ES2,-2.941958467,0
2907,9826528,HT144,-7.782678188,0
2907,9826528,LOVO,-3.885033928,0
2907,9826528,MDAMB436,-5.376208327,0
2907,9826528,MSTO,-14.17603986,0
2907,9826528,NCIH1650,-4.553468606,0
2907,9826528,NCIH460,-3.465709085,0
2907,9826528,OCUBM,-6.316488557,0
2907,9826528,OV90,-12.2633658,0
2907,9826528,PA1,-5.88626363,0
2907,9826528,RKO,-0.263209169,0
2907,9826528,RPMI7951,-6.574925791,0
2907,9826528,SKMEL30,-3.572047578,0
2907,9826528,SKMES1,-9.715853787,0
2907,9826528,SW620,-4.081865322,0
2907,9826528,SW837,-0.182049361,0
2907,9826528,T47D,-54.33920079,0
2907,9826528,UACC62,-9.330093025,0
2907,11520894,EFM192B,56.14483561,1
2907,11520894,KPL1,45.36507029,1
2907,11520894,LNCAP,-39.61912652,0
2907,11520894,OCUBM,42.78787674,1
2907,11520894,SKMEL30,34.48879438,1
2907,11520894,SW837,-2.190133483,0
2907,11520894,UWB1289,-9.673768534,0
2907,11960529,A427,-11.63887968,0
2907,11960529,ES2,-7.765952714,0
2907,11960529,KPL1,-10.6320112,0
2907,11960529,LNCAP,-13.96198475,0
2907,11960529,LOVO,-4.952741064,0
2907,11960529,NCIH1650,-3.985984683,0
2907,11960529,RPMI7951,-7.016517482,0
2907,11960529,SW837,-15.42055822,0
2907,11960529,T47D,-4.08859713,0
2907,11960529,UWB1289,-6.52771367,0
2907,11960529,UWB1289BRCA1,-8.40497407,0
2907,11960529,ZR751,-32.21629252,0
2907,11977753,LNCAP,67.79077683,1
2907,11977753,T47D,100.4024954,1
2907,11977753,UWB1289,32.06369794,1
2907,16224745,A427,-6.499720942,0
2907,16224745,CAOV3,-2.213013335,0
2907,16224745,HT29,-0.822583458,0
2907,16224745,KPL1,-18.7208177,0
2907,16224745,MDAMB436,-2.876242428,0
2907,16224745,MSTO,-17.29457907,0
2907,16224745,NCIH1650,-10.65970238,0
2907,16224745,NCIH2122,-10.50085667,0
2907,16224745,NCIH23,-8.207760148,0
2907,16224745,OVCAR3,-0.683654859,0
2907,16224745,SKMES1,-2.461228342,0
2907,16224745,SW837,-21.49748875,0
2907,16224745,T47D,-4.31321507,0
2907,16224745,UWB1289,-7.84170195,0
2907,16224745,UWB1289BRCA1,-7.709930473,0
2907,24748204,A2780,-3.013528255,0
2907,24748204,LNCAP,-44.89482989,0
